n,experiment,empirical_runtime_mean,empirical_runtime_std,lbds,computed_runtime_mean
500,tuned_dyn_bin5,6446.9,455.7605621376207,"[]",5452.393798535717
500,tuned_dyn_bin5,6446.9,455.7605621376207,"[]",3737.3956470035037
500,tuned_dyn_bin5,6446.9,455.7605621376207,"[]",4483.804285357748
500,tuned_dyn_bin5,6446.9,455.7605621376207,"[]",4371.251979012275
500,tuned_dyn_bin5,6446.9,455.7605621376207,"[]",6644.906071943559
500,tuned_dyn_bin6,5588.926,597.6881197782,"[]",5543.465946162837
500,tuned_dyn_bin7,4343.76,398.0341422541539,"[]",4346.84840452845
500,tuned_dyn_bin8,7988.216,1565.5763939661329,"[]",8060.103936096676
1000,tuned_dyn_bin0,8504.974,1002.2172565486986,"[]",8521.786369860098
1000,tuned_dyn_bin1,9198.626,1177.8268523530953,"[]",9174.06414615607
1000,tuned_dyn_bin2,8125.63,910.9778488525393,"[]",8130.148945099742
1000,tuned_dyn_bin3,7322.472,733.4540675570624,"[]",7301.550334009212
1000,tuned_dyn_bin4,7612.828,940.0482468554474,"[]",7619.281548381525
1000,tuned_dyn_bin5,6855.194,612.9301333463709,"[]",6838.045115176339
1000,tuned_dyn_bin6,22794.446,1144.9016512714095,"[]",22783.049243928403
1000,tuned_dyn_bin6,22794.446,1144.9016512714095,"[]",16559.056284973816
1000,tuned_dyn_bin6,22794.446,1144.9016512714095,"[]",12134.310025301265
1000,tuned_dyn_bin6,22794.446,1144.9016512714095,"[]",7440.399953415322
1000,tuned_dyn_bin6,22794.446,1144.9016512714095,"[]",8873.528350177306
1000,tuned_dyn_bin6,22794.446,1144.9016512714095,"[]",6724.593349626149
1000,tuned_dyn_bin7,10004.932,741.3586334399837,"[]",10075.614309061699
1000,tuned_dyn_bin8,13523.888,1352.4372752390404,"[]",13484.945822776092
1000,tuned_dyn_bin9,11468.866,844.4271431236682,"[]",11504.245503037024
500,binned_optimal_dyn_start,3285.354,529.028332590987,"[]",3327.579098542799
1000,binned_optimal_dyn_start,6033.926,476.75308129470966,"[]",6045.465415991826
500,binned_optimal_dyn_end,3031.6,295.95535474121766,"[]",3022.194930120731
1000,binned_optimal_dyn_end,6165.264,488.2068069005183,"[]",6193.358458852786
500,binned_optimal_dyn_middle,2929.17,322.81294444306286,"[]",2943.859885017389
1000,binned_optimal_dyn_middle,6033.834,457.31585850919276,"[]",6032.358381413758
500,tuned_dyn_bin_sc5,5434.688,412.5019110937548,"[]",
500,tuned_dyn_bin_sc5,3689.726,470.1196134219461,"[]",
500,tuned_dyn_bin_sc5,4472.518,359.08781332147714,"[]",
500,tuned_dyn_bin_sc5,4396.396,492.89964007290575,"[]",
500,tuned_dyn_bin_sc5,6613.588,446.6125818379952,"[]",
1000,tuned_dyn_bin_sc6,16562.328,1590.173503871826,"[]",
1000,tuned_dyn_bin_sc6,12110.524,829.1405269458248,"[]",
1000,tuned_dyn_bin_sc6,7471.068,713.7915321548722,"[]",
1000,tuned_dyn_bin_sc6,8910.534,595.9350911332542,"[]",
1000,tuned_dyn_bin_sc6,6709.658,568.5661518557009,"[]",
500,tuned_dyn_bin_sc8,5818.312,1150.748604455378,"[]",
1000,tuned_dyn_bin_sc9,15109.752,3428.1106899422016,"[]",
500,tuned_dyn_cas_bin_sc5,3477.646,459.3780280814484,"[]",
500,tuned_dyn_cas_bin_sc5,3315.148,396.62306299054273,"[]",
500,tuned_dyn_cas_bin_sc5,3368.168,420.9604301784195,"[]",
500,tuned_dyn_cas_bin_sc5,3340.506,405.41239986463165,"[]",
500,tuned_dyn_cas_bin_sc5,3399.14,414.1153805402547,"[]",
1000,tuned_dyn_cas_bin_sc6,6587.566,548.6761063177437,"[]",
1000,tuned_dyn_cas_bin_sc6,6631.944,555.8537513267315,"[]",
1000,tuned_dyn_cas_bin_sc6,6483.544,567.4524932221199,"[]",
1000,tuned_dyn_cas_bin_sc6,6570.604,507.5378322686891,"[]",
1000,tuned_dyn_cas_bin_sc6,6479.828,587.5916493756528,"[]",
500,optimal_dyn,2935.624,324.45734176313533,"[]",
1000,optimal_dyn,5984.264,475.1848759209409,"[]",
2000,optimal_dyn,12178.188,757.3257401250798,"[]",
500,optimal_dyn_bin,2920.33,303.32497605703355,"[]",
1000,optimal_dyn_bin,5959.82,471.081508446256,"[]",
2000,optimal_dyn_bin,12185.74,722.3547607650967,"[]",
